modismo;significado;ejemplo;fuente
lambonear;Adular o tener un comportamiento servil generalmente con sus superiores.;Algunos periodistas de emisoras del país, cada vez que sale un CD, se dedican únicamente a lambonear a los músicos, no les hacen una crítica constructiva.;DICOL
lambonear;Dar una persona opiniones o divulgar información que no es de su incumbencia.;El portero fue quien me lamboneó que los vecinos se habían ido al extranjero.;DICOL
lambón;Referido a una persona, aduladora y servil generalmente en relación con sus superiores.;En cada oficina y en cada compañía hay empleados “lambones”que hacen de todo por quedar bien con sus jefes.;DICOL
lambón;Referido a una persona, que se entromete o divulga información sobre los demás.;¡Sapo, lambón! decía el cantante vallenato a quien se metía en su vida privada.;DICOL
lamer;Consumir el ambil diluyéndolo en la boca, especialmente con fines curativos y rituales;"El ambil siempre lo han lamido hombres y mujeres; el mambe si es casi es casi exclusivamente para los hombres.";DICOL
lampareado;Referido a una persona o cosa, salpicado con una sustancia.;Cuando despertó se dio cuenta que estaba a orillas del río, bajo una mata de espinas y se encontraba lampareado de estiércol de vaca.;DICOL
lamparón;Raspadura o herida que se hace en alguna parte del cuerpo.;Estoy bien, a pesar del lamparón que tengo en el brazo por la caída de ayer.;DICOL
lamprea;Persona que come mucho y compulsivamente.;Comía puñados repletos de hormigas culonas como vil lamprea.;DICOL
langaruto;Referido a una persona, de contextura delgada y frágil.;;DICOL
lanza;En el ejército, compañero de confianza.;Mi lanza y yo fuimos los soldados más puntuales del batallón.;DICOL
lanzamiento;En el atletismo, prueba que consiste en lanzar una bola de acero por el aire a la mayor distancia posible.;El lanzamiento de bala se realiza desde dentro de un círculo de material o concreto rodeado por un aro metálico.;DICOL
lapa;Roedor de hasta 50 cm de longitud, pelaje espeso y liso de color café, con hileras de manchas blancas en el lomo, cola y patas cortas, hocico alargado y orejas pequeñas y redondas.;;DICOL
lapicero;Bolígrafo, instrumento que se usa para escribir que tiene en su interior un tubo de tinta y en uno de sus extremos una punta redonda.;;DICOL
lapo;Hacer muchos esfuerzos para lograr algo.;Unos analistas insisten en que el país debe darse el lapo y hacer una renegociación con los organismos internacionales de crédito que implique rebaja en los intereses.;DICOL
lapo;Aguacero.;Lo grité en silencio. Y tal vez estaba cayendo ya un lapo de agua porque me demoré en oír que tocaban la puerta.;DICOL
lapo;Hombre bien parecido, atractivo físicamente.;Es que yo volvería a votar por ese alcalde a ojo cerrado: físicamente es un lapo de hombre.;DICOL
largada;En una carrera, partida de los competidores.;;DICOL
largar;Arrojar o alcanzar algo.;¡Apúrele!, lárgueme esa vaina que está en el escritorio porque la necesito con urgencia.;DICOL
lata;Indica que algo se da en gran número o cantidad.;Había gente a la lata en ese concierto.;DICOL
latonero;Persona que tiene por oficio la reparación de la carrocería de los vehículos.;Se requiere latonero con experiencia de 3 años en el sector automotriz.;DICOL
latonería;Oficio que consiste en la reparación de la carrocería de un vehículo.;Después de algún accidente, por leve que sea, se necesita someter al vehículo a trabajos de latonería y pintura.;DICOL
lavada;Empaparse una persona completamente con la lluvia.;¡Olvidó la sombrilla y se pegó una lavada tenaz!;DICOL
lavadero;Lugar generalmente en los ríos en el cual se recoge y lava la arena en vasijas para buscar oro.;Para extraer cada gramo de oro se requieren dos o tres de mercurio, que es vertido a los ríos en los lavaderos.;DICOL
lavadero;Lugar en el que se lavan vehículos, generalmente con máquinas de limpieza especiales.;A diferencia de los lavaderos corrientes, les ofrecemos a los usuarios un servicio mientras hace alguna diligencia o está almorzando.;DICOL
lavadero;Negocio mediante el cual se oculta estratégicamente la procedencia de dineros ilícitos.;Luego de investigar las facturas ficticias de algunos establecimientos públicos, la policía decidió cerrarlos por ser lavaderos de plata.;DICOL
lavaperros;Integrante de una banda criminal y subalterno de un delincuente de alto rango al que sigue sus órdenes.;Esos 'lavaperros' les cumplen consignas a capos o a mafias que están en otras partes.;DICOL
lavaplatos;Pila que tiene generalmente un grifo y un desagüe en el cual se lavan los platos y utensilios de la cocina.;Pone la botella sobre la estufa, muy cerca del lavaplatos, y abre la puerta con una mezcla de disgusto y curiosidad.;DICOL
lavaza;Mezcla de residuos orgánicos de alimentos que sirve para alimentar a los cerdos.;El principal mercado de los cerdos sacrificados […], es la población Bogotana, siendo en su mayoría alimentados con lavazas que no garantizan la calidad proteínica y sanitaria de la carne.;DICOL
lazo;Cuerda tejida en forma de trenza que se usa generalmente para sujetar cargas o colgar objetos pesados.;En Colombia, se cultiva el fique y se extrae la cabuya para la fabricación de hamacas, redes, lazos y costales.;DICOL
lea;Mujer joven, muchacha.;¡Qué linda está esa lea!;DICOL
lebranche;Nombre de varias especies de pez de agua dulce, de hasta 36 cm de longitud, cuerpo fusiforme con escamas, aleta dorsal transparente, con hábitos gregarios y comestible.;;DICOL
leche;Logro que se obtiene de manera fortuita.;De leche fue que Portugal quedó campeón de la Eurocopa porque jugó muy discretamente a lo largo de todo el torneo.;DICOL
leche;Postre horneado hecho a base de varios tipos de leche, de textura muy suave y cubierto de una capa de caramelo.;El primer paso para preparar una leche asada es batir los huevos y agregar la leche condensada, la crema de leche y la leche.;DICOL
leche;Lamentarse por algo que ha sucedido y que ya no es posible solucionar.;Sin embargo, optaron por no llorar sobre la leche derramada y están construyendo proyectos para desarrollar de manera mancomunada y así cosechar más talentos que representen al país.;DICOL
leche;Esforzar a alguien hasta el límite, para lograr un objetivo.;Esta vez el profe nos sacó la leche con una variante del denominado Test de Farley.;DICOL
lechero;Referido a un bus o medio de transporte público, que es lento porque se detiene muchas veces durante su trayecto.;Atrás quedó el denominado bus corriente o 'lechero'. Los viejos buses de 20 o 25 pasajeros desaparecieron y se dio vía a los de 40 personas.;DICOL
lechona;Plato típico en el que la hembra joven del cerdo se come horneada y rellena de arroz, carne de cerdo, arvejas y otros ingredientes.;La lechona es un plato típico del Tolima que generalmente se sirve con arepas blancas e insulso.;DICOL
lechosa;Papaya.;;DICOL
legajador;Utensilio de oficina que consiste en una lámina rectangular de cartón o plástico doblada por la mitad y generalmente con un gancho en la mitad, en el cual se guardan documentos.;Este legajador trae aros que aseguran las tapas evitando que se abran en el momento de archivar altos volúmenes de información.;DICOL
leguleyada;Maniobra jurídica en la que se hace parecer una norma o gestión como legal cuando en realidad es ilícita.;La entidad prestadora de salud quizá se inventará alguna leguleyada para subir de forma irracional las tarifas a sus usuarios.;DICOL
lejura;Parte remota o muy distante de otro lugar.;Le compró el uniforme, blanco, con su cinturón azul, y lo acompañó muchos sábados hasta el norte, norte, una verdadera lejura.;DICOL
lempo;Referido a una persona, animal o cosa, muy grande, descomunal.;Es una maravilla! encontrarse con lempo de finca ¿o no?;DICOL
lengua;Hablar demasiado y sobre temas poco importantes.;Los domingos esperamos en los parques a todos los ciclistas y a los que no puedan hacer trote, pueden caminar y echar lengua.;DICOL
lengua;Persona que tiene dificultades para articular ciertos fonemas, especialmente la /s/ que es pronunciada poniendo la lengua entre los dientes.;;DICOL
lengua;Hierba que crece hasta 1 m, de hojas grandes, terminadas en punta y flores de color amarillo rojizo.;La lengua de vaca crece en los prados y las orillas de los ríos. Además, es una planta fácil de cultivar en los huertos.;DICOL
lengua;Lengua que tiene fisuras o grietas en su superficie.;;DICOL
lengua;Referido a la forma de hablar, en especial los niños o a los niños, que pronuncian mal los sonidos o de forma imprecisa.;Para el psicólogo Andrés Cifuentes, hablar a media lengua con los bebés hace creer al niño que es un subnormal, cuando los que en realidad actúan como subnormales son los padres del menor”.;DICOL
lengua;Provocar a alguien para que cuente algo que se quiere saber.;;DICOL
lengua;Provocarlo para que cuente algo que se quiere saber.;;DICOL
lengua;Ser una persona que critica e inventa chismes con facilidad.;;DICOL
lengua;Callar algo por conveniencia o por miedo.;;DICOL
lenguilargo;Referido a una persona, que delata o acusa a otra.;El famoso bar de la esquina no es lo que muchos mal intencionados y lengüilargos aseguran que es: un antro de vicio y perdición.;DICOL
lengüicaliente;Referido a una persona, que usa frecuentemente groserías o que dice obscenidades.;Esos borrachos no hacen más que hacer escándalo y además, se vuelven unos lengüicalientes cada que se enojan con cualquiera.;DICOL
lentejo;Referido a una persona, que aparenta ser poco inteligente y muy pausada en sus acciones.;¡De ahí que “lentejo” le llaman al hombre lerdo que para levantar un pie le pide permiso al otro!;DICOL
letra;Indica un tipo de letra ilegible.;La letra de médico se ha convertido en un tópico para referirse a una caligrafía desastrosa, de casi imposible desciframiento.;DICOL
leva;Faltar intencionalmente a clases.;Ana se hizo la leva.;DICOL
levantadora;Tipo de bata generalmente larga que se pone sobre la ropa de dormir, al levantarse o para estar en la casa.;Ofrecemos gran variedad de pantuflas y levantadoras en algodón dulce abrigo o algodón perchado.;DICOL
levantamuertos;Comida que recupera la energía perdida de una persona.;Me levanté barro, con paso cansino hacia la cafetera para preparar el levantamuerto mañanero.;DICOL
levantar;Conquistar a alguien, cautivarlo.;¡Si sonrieras más seguro que levantarías más de un admirador!;DICOL
levantar;Criar un hijo u otro ser querido, generalmente con dificultades económicas.;En la plaza de mercado no solamente encontró trabajo, halló el amor sino que además levantó a su familia.;DICOL
levantar;Conseguir dinero para obtener algo.;Ya levanté para la matrícula de este semestre.;DICOL
levantar;Golpear fuertemente a una persona.;;DICOL
levante;Persona con la que se sostiene una relación sentimental pasajera.;Si lo que quiere es compartir un buen momento con su levante, ir a cine es una opción viable, aunque no siempre es la más acertada.;DICOL
ley;Mantenerse en sus ideas y creencias.;A pesar de que hubo argumentos suficientes para hacerle cambiar de opinión no quiso aceptar nada, estaba en su ley.;DICOL
ley;La policía.;Tuvimos que llamar a la ley para que calmara el escándalo de los vecinos.;DICOL
leña;Jugar fuerte.;Oiga maestro esta cantada la táctica del técnico. Sale con todo los primeros quince minutos y después se dedican a dar leña atrás.;DICOL
leña;Hacer que una situación negativa continúe o se acreciente, debido a una acción o comentario inapropiados.;El periodista con sus comentarios metió más leña al fuego al conflicto que hay en el canal de televisión.;DICOL
leñero;En el deporte, jugador que es agresivo en sus jugadas y que comete muchas faltas.;En la prueba femenina, el 'leñero' está garantizado en las dos vueltas que darán al circuito de cinco kilómetros, para completar la distancia de 10 km de las damas.;DICOL
liberal;Relacionado con el partido Liberal Colombiano, uno de los partidos políticos tradicionales de Colombia.;Liberales y conservadores llegan con dinámicas distintas a las elecciones de Congreso.;DICOL
liberal;Seguidor de este partido político.;;DICOL
liberal;Bizcocho pequeño, redondo, relleno generalmente de arequipe y cubierto de un dulce rojo y azúcar.;En las tiendas de los pueblos consigues los más ricos liberales.;DICOL
liberalismo;Movimiento político representado por el Partido Liberal Colombiano, fundado en 1848.;;DICOL
libra;Unidad de medida que equivale a cien plántulas de la famila de las musáceas (plátano o banano).;Tengo sembrada una ‘libra’ de plátano.;DICOL
libreta;Cuaderno pequeño que contiene el resultado de las evaluaciones hechas a un estudiante durante un determinado periodo escolar.;;DICOL
libreta;Documento oficial en el que se certifica que un hombre adulto tiene definida su situación militar.;Encuentre los pasos e información para sacar la libreta militar de primera y segunda clase en Colombia para definir su situación militar.;DICOL
libretista;Persona que escribe guiones para programas de radio y televisión.;Uno de los libretistas de producciones nacionales tan exitosas como ‘La alternativa del escorpión' falleció a los 54 años.;DICOL
licorera;Fábrica estatal en la que se producen bebidas alcohólicas destiladas.;Las licoreras del país informaron este lunes que de acuerdo con el alza de los costos de las materias primas incrementaron el precio de los productos.;DICOL
licorera;Establecimiento público en el que se venden bebidas alcohólicas, generalmente para llevar.;Los expertos hicieron un recorrido por tiendas, licoreras, pequeños supermercados de barrio y demás establecimientos que venden aguardiente llanero.;DICOL
licra;Pantalón largo o corto, hecho de un material delgado, elástico y ajustado al cuerpo que se utiliza generalmente para hacer una actividad física.;Para poder estimular todos los músculos y optimizar al máximo los resultados, es necesario usar una licra ultra delgada.;DICOL
licuala;Palmera pequeña de tronco bajo, con una corona de hojas lisas y grandes en forma de abanico, de uso ornamental.;La licuala es de crecimiento lento y exige climas cálidos y protección del viento. Puede sembrarse en materas como planta de interior y se propaga por semillas.;DICOL
lidia;Resultar alguien o algo, problemático o molesto.;Y volví a las andanzas. Me ha dado lidia volver a coger el ritmo pues se me endurecieron las manos.;DICOL
liendra;Huevo de piojo que se adhiere al pelo.;Descubre cómo eliminar los piojos y las liendras utilizando remedios caseros.;DICOL
liga;Proteína animal, como pollo, carne o pescado, que se sirve en una comida.;Muy triste, con la atarraya al hombro se dirige a su rancho. Va con las manos vacías. Esa tarde el arroz va sin liga, pues el río no hizo su aporte.;DICOL
liga;Comisión, a veces fraudulenta, que se solicita o se otorga por un trabajo.;;DICOL
ligado;Referido a una persona, que tiene mala suerte.;;DICOL
ligado;Referido a una persona, que tiene buena suerte.;;DICOL
ligar;Dar dinero a alguien, normalmente a familiares o conocidos;Voy a visitar a mi tía para que me ligue, ando sin un centavo.;DICOL
ligar;Obtener el amor de otra persona a través de prácticas de brujería.;En Colombia hay muchos magos que dicen tener poderes para ligar y desligar al ser querido.;DICOL
limonaria;Arbusto que crece hasta 2 m, de hojas largas y delgadas y flores pequeñas y blancas que huelen a limón, usada con fines medicinales.;La aromática de limonaria es usada para calmar las migrañas y otros dolores de cabeza menores.;DICOL
limosina;Vehículo lujoso, muy largo y de gran tamaño en el que generalmente un vidrio separa los asientos traseros de los delanteros.;La enorme limosina ha sido usada en matrimonios, despedidas de soltero y eventos sociales.;DICOL
limosnero;Referido a una persona, que pide limosna en las calles.;;DICOL
limpia;Serie de golpes dados a una persona o a un animal a modo de castigo.;Como todos sintieron mucha rabia, cogieron una vara y le dieron una limpia, pues sabían que ella era quien les chupaba la sangre.;DICOL
limpia;Tratamiento que realiza un médico tradicional para curar o aliviar a alguien, especialmente de padecimientos asociados a causas sobrenaturales.;El abuelo nos recomendó una limpia y para comenzar nos puso en ayuno.;DICOL
limpiabrisas;Dispositivo externo que barre del parabrisas de un vehículo, la lluvia o el sucio, con movimientos de lado a lado.;Una mujer fue quien inventó los limpiabrisas de los carros: se trata de Mary Anderson, una norteamericana quien, a sus 39 años, logró patentar su creación en 1905.;DICOL
limpiar;Tratar una enfermedad mediante las prácticas de un médico tradicional, especialmente los padecimientos asociados a causas sobrenaturales.;Después el taita nos echa tabaco y nos limpia con la guaira, el manojo de hojas que agita en torno a nosotros.;DICOL
limpiar;Retirar las malezas de un terreno para su cultivo.;Las mujeres limpiando potreros a puros macheticos corticos, amarrados con alambre de la cacha.;DICOL
limpiavidrios;Persona que tiene por oficio la limpieza de vidrios, generalmente de las ventanas de los edificios.;;DICOL
limpiavidrios;Detergente líquido que se emplea para desengrasar y limpiar los vidrios.;;DICOL
limpio;Referido a una persona, que está sin nada de dinero.;No juego más dominó, me dejaron limpio.;DICOL
limpión;Trozo de tela que se emplea en la cocina para secar o limpiar.;Fabricación y venta de limpiones absorbentes y resistentes para secar su vajilla.;DICOL
lineamiento;Principio básico que caracteriza una tendencia o forma de pensamiento.;Los lineamientos pedagógicos del colegio se fundamentan en el respeto por el otro.;DICOL
lineamiento;Norma o directriz que se sigue para llevar a cabo un plan o estrategia.;El incumplimiento de los lineamientos adoptados por la empresa puede conllevar una sanción.;DICOL
liquid paper;Implemento de escritorio cuyo contenido es un líquido blanco y espeso que al secarse sobre el papel cubre el contenido escrito que se desea borrar.;;DICOL
liquiliqui;Traje típico masculino de los Llanos Orientales, hecho generalmente de lino o dril y compuesto por chaqueta y pantalón del mismo color.;El liquiliqui con el cual Gabo recibió el Premio Nobel de Literatura en 1982, estará expuesto en el Museo Nacional de Colombia.;DICOL
liquiliqui;Chaqueta larga que compone este traje y se abrocha hasta el cuello.;;DICOL
lisa;Nombre de varias especies de pez de agua dulce, de hasta 36 cm de longitud, cuerpo fusiforme con escamas, aleta dorsal transparente, tiene hábitos gregarios y es comestible.;Al ir de pesca, es probable encontrar lisas cerca de la superficie, en el gramalote y en el bosque.;DICOL
liso;Referido a una persona, atrevida, confianzuda.;En verbenas y casetas todavía se escucha eso de “saca la mano liso que ese man te va a cascar”.;DICOL
lizadero;Juego infantil ubicado en los parques que consta de una rampa y unas escaleras por las que los niños suben para luego deslizarse.;;DICOL
llaga;Persona que come mucho y compulsivamente.;Mucha llaga, pingo, antes no está más gordo.;DICOL
llamadera;Llamadas reiteradas e insistentes.;Hay una llamadera a la emisora por el concurso que se está haciendo.;DICOL
llamador;Instrumento de percusión ahuecado y de forma cilíndrica, hecho de metal o madera.;El llamador se ejecuta, de pie o sentado, por percusión directa con la palma de la mano abierta.;DICOL
llanero;Relacionado con los Llanos orientales colombianos.;El grupo se conformó hace cinco años con el propósito de difundir la música llanera.;DICOL
llanero;Persona que se encarga del ganado en el llano o la sabana.;Es el llanero muy charlador, autosuficiente, generoso, canta e improvisa porque es muy creativo.;DICOL
llanta;En un vehículo, parte de caucho que forma la rueda.;Una camioneta o campero no requiere las mismas llantas que un automóvil normal, y mucho menos un vehículo de carga.;DICOL
llanta;Exceso de grasa que se acumula en la cintura.;Para deshacernos de las llantas necesitamos más ejercicio cardiovascular y modificaciones en la dieta.;DICOL
llantero;Persona que repara las llantas de un vehículo.;El conductor de la moto se quedó en la esquina, mientras su parrillero se bajó y caminó hasta donde estaba el joven llantero.;DICOL
llantería;Lugar donde se reparan y ponen las llantas de un vehículo.;Había reparado varias llantas y se disponía a culminar sus actividades en la humilde llantería de la cual derivaba su sustento diario.;DICOL
llave;Forma de tratamiento usada entre amigos o compañeros de género masculino.;;DICOL
llavería;Amigo, compañero inseparable.;;DICOL
llenura;Sensación de dificultad en la digestión por haber comido en exceso.;Para disminuir la llenura, los expertos aconsejan comer a la misma hora y disminuir el consumo de grasas y de otros alimentos.;DICOL
lleva;Juego infantil en el que uno de los integrantes persigue a los otros hasta alcanzarlos, antes de que se refugien en una zona de seguridad.;Jugar a la lleva, golosa o ponchados desarrolla en los niños destrezas físicas, mentales y cognitivas.;DICOL
llevado;Referido a una persona, que se encuentra en una mala situación económica.;;DICOL
llevado;Referido a una persona, que se encuentra bajo los efectos de las drogas.;;DICOL
llevado;Referido a una persona, que está muy cansado o no puede más con la actividad que debe llevar a cabo.;;DICOL
lloretas;Referido a una persona, que llora mucho.;Desde niña soy muy lloretas, me emociono por todo.;DICOL
llovedera;Lluvia continua.;Esa llovedera no los dejó salir a recoger la cosecha de papa.;DICOL
lloviznarse;Mojarse con la lluvia.;Fuimos al parque a pasear el perro y, aunque corrimos, nos lloviznamos.;DICOL
lluspar;Resbalar, deslizar.;;DICOL
lluspioso;Referido a un objeto o superficie, que se resbala o se desliza con facilidad.;El piso está lluspioso.;DICOL
lluvia;En la reunión de una pareja que se casa, o de una futura madre, obsequios que se llevan para el nuevo hogar o el nuevo bebé.;;DICOL
lluvia;Celebración de diverso tipo en la que los invitados regalan sobres con dinero al festejado.;;DICOL
lobera;Algo de mal gusto, escandaloso u ordinario.;Qué lobera. Por más que quieran medio parecer Hollywood. Entre más se esfuercen, más lobos son. Esta imitación es absolutamente ridícula.;DICOL
lobería;Algo de mal gusto, escandaloso u ordinario.;;DICOL
lobo;Referido a una persona u objeto, ordinario o de apariencia desagradable.;;DICOL
lobón;Lagarto de color verde oliva con manchas negras, caracterizado por una cola de cerca de 50 cm que usa para defenderse, y la propiedad de mimetizarse según las tonalidades del ambiente que le rodea.;;DICOL
localidad;Cada una de las veinte zonas administrativas en las que se divide Bogotá, Distrito Capital.;Una de las directrices para el presupuesto de las localidades es que se invierta el 40% en arreglo de vías locales y espacio público.;DICOL
locho;Referido a una persona, perezosa que no le gusta hacer nada.;He estado muy ocupado, muy confundido, muy locho para escribir.;DICOL
locho;Pereza para realizar alguna actividad.;El domingo fue el día de la locha. Nos quedamos en la cama y no hicimos nada durante todo el día.;DICOL
lolas;Senos de la mujer.;;DICOL
loliar;Ir por varios almacenes probándose los productos o preguntando por sus características sin tener la intención de comprarlos.;Quería salir a ‘loliar’ a los almacenes y centros comerciales y ver en los escaparates, lo último de la moda.;DICOL
lolo;Persona que va por distintos almacenes probándose los productos o preguntando por sus características sin tener la intención de comprarlos.;¡Qué lola! me hizo mostrarle todos los esmaltes y no compró ninguno.;DICOL
lombriciento;Referido a una persona o un animal, que tiene lombrices intestinales.;;DICOL
lombriciento;Hijo.;¿En dónde estará mi lombriciento? ¡Mijo! Vamos que se nos hizo tarde.;DICOL
lombriciento;Niño cansón.;;DICOL
lomito;Corte de carne de res que va entre las costillas y el lomo.;;DICOL
lompley;Tortillas dulces crocantes de harina de trigo que se distinguen por su gran tamaño.;Fui de paseo a las Lajas y de regreso a casa en el Pedregal me compré un lomplei con café en leche.;DICOL
lonchera;Recipiente plástico o de otro material en el que los niños llevan su alimento al colegio.;En toda lonchera debe haber una fuente de fibra y energía, un alimento que aporte proteínas, una fruta y una bebida.;DICOL
longo;Piedra.;Los pandilleros lanzaron longos a la policía.;DICOL
lora;Persona que habla mucho.;;DICOL
lora;Ave de tamaño mediano, de la familia del perico y el papagayo, con un pico corto y curvo y plumaje verde.;;DICOL
lora;Serpiente de hasta un metro de longitud, de color verde en su parte dorsal.;;DICOL
lote;Referido a una persona, que aventaja a los demás con gran superioridad.;Ella no necesita estudiar para los exámenes finales, está sobrada de lote.;DICOL
loína;Armónica, instrumento de viento tradicional usada en ceremonias y festividades.;Cantando vas al mundo de vidas pasadas/ con canto de loina danzas/ con viento de guaira vuelas / con tu espíritu vas buscando.;DICOL
luca;Cantidad de dinero equivalente a un peso.;Me llegó un Toshiba de los setenta. Está sucio pero le sirve hasta la casetera. Te lo dejo en 150 lucas y te encimo diez discos.;DICOL
lulada;Bebida fría que se prepara con lulo.;El jugo de lulo se diferencia de la lulada en que en esta última no se licúa el lulo ni se cuela, se parte en trozos muy pequeños y se bate con un molinillo.;DICOL
lulo;Arbusto que alcanza los 3 m de altura, con hojas grandes, nervaduras y flores moradas, y cubierto de pequeños pelos que pueden ser urticantes.;El lulo empieza a producir sus primeros frutos a los 10 meses de haber sido plantado.;DICOL
lulo;Fruto del árbol del mismo nombre, ácido, redondo, anaranjado y cubierto de pelos punzantes, que se usa para hacer jugos y mermeladas.;El helado de lulo tiene la acidez perfecta de la fruta, combinándola con crema de leche.;DICOL
lulo;Hombre bien parecido, atractivo físicamente.;;DICOL
lulo;Juego de mesa que se realiza con la baraja española que consiste en que los jugadores, con las cartas que tienen en la mano, debe ganar a los demás según la muestra de carta que haya salido, para ganar uno de los tres montos de apuesta.;Me nacieron ganas de aprender a jugar ‘lulo’, ese juego de barajas españolas que tanto las entretiene y que se les convierte en el pretexto para reunirse de lunes a viernes.;DICOL
lumbalú;Ritual funerario de San Basilio de Palenque, en el que los adultos realizan cantos y danzas durante el velorio.;El lumbalú fue traído desde África por los esclavos que llegaron a América y es una expresión musical del dolor por la muerte de un ser querido.;DICOL
luna;Estar distraído u ocupado en sus propios pensamientos la mayor parte del tiempo.;Mi hermano vive en otro mundo, vive en la luna, no sabe lo que está pasando en su propio país.;DICOL
luneta;En un teatro, lugar ubicado en la planta baja, frente al escenario, en el que se ubican los asientos preferenciales.;El teatro cuenta con una capacidad de 714 personas, distribuidas en platea, luneta y balcón.;DICOL
lupia;Dinero.;Y se dedicó a malgastar en bebida cuanta lupia ganaba… Hasta que se quedó sin un centavo en el bolsillo.;DICOL
luquiado;Referido a una persona, que tiene mucho dinero.;Víctor reaccionó a tiempo y descubrió que prefería dar ejemplo de honestidad y rectitud a sus dos hijos que estar 'luquiado' o con 'buena pinta'.;DICOL
lustrabotas;Persona que tiene por oficio limpiar y lustrar el calzado.;;DICOL
lámina;Ser un hombre atractivo físicamente.;¡El nuevo administrador del conjunto es una lámina, tiene tremendo cuerpazo!;DICOL
líchigo;Cantidad pequeña de hortalizas, frutas y verduras que se compra generalmente para el consumo diario.;Lo que es el mercado de líchigo, o sea, lo que es de plaza, se hace, una vez a la semana.;DICOL
líchigo;Lugar donde se venden estos alimentos, el cual es más pequeño que una plaza de mercado.;;DICOL
líchigo;Dinero.;Quiero comprar esos libros, pero me falta el líchigo.;DICOL
líchigo, ga;Referido a una persona, tacaña.;¡Qué líchiga! No quiso prestarme para pagar el bus.;DICOL
líchigo, ga;Referido a una persona, sin dinero, pobre.;;DICOL
macambo;Variedad del árbol del cacao, de hasta 12 m de altura, hoja oblonga alargada, inflorescencia roja de pétalos largos, y fruto comestible.;El macambo es un tipo de cacao que se encuentra en la Amazonía colombiana y también la podemos apreciar en el Perú.;DICOL
macambo;Fruto de este árbol, de forma ovoide y de hasta 20 cm de largo, de cáscara leñosa de color amarillo al madurar, de semillas grandes y cubiertas de pulpa blanca, dulce y comestible.;Con las pepas del macambo los huitotos hacen u aceite que da muy buen sabor a las comidas.;DICOL
macancán;Hombre alto, corpulento y fuerte.;Es importante resaltar que por regla general en las fiestas hay muchísimos tipos, de esos macancanes fornidos y muy pocas mujeres.;DICOL
maceta;Conjunto de dulces hechos a base de agua y azúcar, adornados con tiras de papel de diversos colores y colgados en un palo de bambú, que los padrinos obsequian a sus ahijados en su día.;Hasta el último año de mi bachillerato me regalaron macetas. No iba a la colina, pero me gustaba sentarme a saborear el dulce. Hoy mis nietos son los que disfrutan de esta tradición.;DICOL
machaca;Insecto de hasta 10 cm de longitud, de cuerpo y alas con manchas café, gris y naranja, de cabeza prominente y con un punzón con el que pica.;El barranquillero añadió que la leyenda rezaba que la picadura de machaca sólo se curaba haciendo el amor, y que sólo el acto sexual era la salvación.;DICOL
machera;Persona, cosa o situación que agradan mucho.;Usted es una machera, lo felicito, permítame decirle que sus apuntes son la berraquera.;DICOL
macheta;Machete corto de hoja ancha y cabo en madera o material sintético usado para labores del campo y como arma blanca.;Con la macheta en forma de zig zag se abre paso entre los matorrales.;DICOL
machetajo;Pez marino o de agua dulce, perteneciente al grupo de los róbalos, de cuerpo delgado color plateado, aletas pectorales más cortas que las aletas pélvicas, y una línea lateral que se extiende hasta la cola.;;DICOL
machetazo;Referido a la forma de hacer algo, de forma descuidada, sin esmero.;Ojalá no pase lo de siempre y es que el último capítulo desinfla por parecer hecho a los machetazos.;DICOL
machete;Papel escrito que se consulta de manera oculta durante una prueba o examen.;Los que no tienen idea o los conocimientos suficientes para afrontar el test, tratan de ubicarse en el salón cerca de la persona que ‘sabe’ o acuden a la magia del ‘machete’.;DICOL
machetear;Realizar un trabajo sin cuidado y esmero, por lo general, reduciéndolo considerablemente.;Macheteó tanto el artículo científico que ni siquiera incluyó toda la bibliografía citada.;DICOL
machetero;Referido a una persona, que realiza trabajos imperfectos o hace las cosas sin esmero.;;DICOL
machetero;Referido a una cosa o una actividad, que se hace sin cuidado y sin prestar atención a los detalles.;Desbaratar antes de ir a desfile, eso se va a notar porque es lo más 'machetero' del mundo.;DICOL
machiro;Referido a una caballería, difícil de adiestrar o con resabios o mañas.;Canto leyendas de jinetear un caballo machiro y sin madrinero, de inundaciones en julio o de verano en enero.;DICOL
macho;Referido a algo, intenso o de grandes proporciones.;¡Qué frío tan macho! En los últimos días los bogotanos han tenido que andar y dormir más abrigados de lo normal.;DICOL
machorrucio;Sopa hecha de maíz pelado y triturado.;Como platos en hogar campesino pueden citarse el machorrucio, agradable sopa de maíz con cierto parecido a la colada de chócolo.;DICOL
machucante;Amante o compañero sexual, que se mantiene oculto socialmente.;Este militar duró más de dos años como machucante oficial y después, con mucha visión política, terminó de suministrador de hombres a su antigua amante.;DICOL
machucar;Aprisionar fuertemente los dedos u otra parte del cuerpo hasta lastimarlos.;Me precipité tanto que dejé dos dedos expuestos y yo mismo me los machuqué con la puerta.;DICOL
machucho;Plato preparado en caldero, a base de arroz, con carne o pescado, yuca, ñame, plátano y cebolla.;Las comidas típicas de la región [Guarandá-Sucre] son la viuda de pescado, machucho de carne salada y el famoso sancocho de gallina.;DICOL
machucho, cha;Referido a una persona, que realiza trabajos imperfectos o hace las cosas sin esmero.;;DICOL
machucho, cha;Referido a un producto, de mala calidad.;;DICOL
