"palabra","significado","ejemplo"
"despepado","dicho de una persona, que sale rápidamente","salió despepado de la oficina"
"despernancarse","sentarse con las piernas muy separadas",""
"despiporre","actividad que se hace en exceso, por ejemplo, gasto en dinero",""
"desporrondingarse","ser muy generoso",""
"desporrondingarse","explayarse",""
"despulgar","quitar las pulgas a los animales",""
"destortolarse","herirse gravemente",""
"destortolarse","matarse",""
"destutanarse","romperse la cabeza, descalabrarse",""
"desvarejar","cortar los varejones o verdascas de los árboles",""
"desvelada","desvelo, insomnio",""
"desvirolado","chiflado",""
"desvirolado","desorientado, distraído",""
"detalle","regalo, obsequio menor",""
"devuelta","devolución de dinero que sobra al hacer un pago",""
"diagonal","cierto tipo de calle que va en sentido oblicuo",""
"diastre(s","expresión que denota sorpresa o contrariedad",""
"diligencia","gestión, asunto, mandado","tengo que hacer una diligencia. salió a una diligencia"
"discursero","que habla mucho",""
"distinguir","conocer a una persona",""
"dolor de cabeza","contrariedad, molestia, disgusto","por la firma de ese documento tuve un dolor de cabeza. ese muchacho es un dolor de cabeza"
"duro","dicho de una persona, destacada en alguna actividad o profesión","es uno de los duros de la empresa"
"duro","tacaño",""
"duro","en el narcotráfico, persona con mucho dinero y poder",""
"dígame","denota que algo que se pregunta es evidente","vendrá la señora"
"echar bueno","pasarla bien, estar o vivir en buenas condiciones",""
"echar clavija","engañar a alguien aumentando dolosamente una cuenta","en ese negocio me echó clavija"
"echar clavija","en el juego de billar, anotarse más tantos que los hechos en realidad",""
"echar el chambuque","arrojar el lazo a la cabeza de la res sin hacerlo girar para darle impulso",""
"echar flotas","exagerar algo, ufanarse de algo",""
"echar lengua","hablar mucho sobre temas insustanciales",""
"echar ligero","andar aprisa",""
"echar los perros","a alguien . coquetear a una persona",""
"echar mucho pico","hablar mucho",""
"echar muela","morder, comer",""
"echar o hablar paja","hablar cosas triviales por pasar el tiempo",""
"echar ojo","mirar, estar alerta para cuidar algo","échele ojo a los niños"
"echar pinta","estar bien vestido",""
"echar quimba","caminar",""
"echar vainas","lanzar reproches, indirectas, inculpaciones",""
"el algo","refrigerio","llegó el algo. llegaron las cucas, el churro, los buñuelos"
"el as barbado","persona muy hábil o sobresaliente en una ciencia o actividad cualquiera",""
"el chiras","el diablo",""
"el que siembre su maíz, que se coma su pinol","refrán con que se expresa que cada uno recoge el resultado de sus propias acciones",""
"elecciones de mitaca","las que se realizaban para elegir diputados y concejales",""
"embalado","drogado por uso de alucinógenos",""
"embarcarse","involucrarse en una situación, negocio, empresa, etc",""
"embarcarse","subir a un vehículo",""
"embarrada","comportamiento desafortunado, fuera de tono","qué embarrada la tuya"
"embarrarla","cometer una indiscreción","la embarraste con ese chiste tan vulgar"
"embarruntar","manchar el cuerpo y, especialmente, la cara con tizne u otra cosa","se embarrutó en la caballeriza"
"embarrutar","manchar el cuerpo y, especialmente, la cara con tizne u otra cosa","se embarrutó en la caballeriza"
"embejucarse","encolarizarse",""
"emberracarse","enfurecerse",""
"embocarse","encontrarse inesperadamente con una cosa, situación o persona","revisando un legajo de papeles me emboqué con una carta de simón bolívar"
"embocarse bien","acertar por azar",""
"embocarse mal","desacertar",""
"embocinada","en el juego de tejo, lograr que este quede dentro del bocín",""
"embolador","persona que tiene por oficio lustrar zapatos",""
"embolar","embetunar, lustrar el calzado",""
"embolatar","ponerse de mal genio",""
"embolatar","perder transitoriamente algo","envolató su cédula y no pudo inscribirse"
"embolatar","dilatar la solución de un asunto",""
"embolatar","dejar de hacer algo por distracción u otra causa","me envolaté y no fui a la cita"
"empajada","regaño, reprensión, insulto",""
"empalado","dicho de una persona, que no puede mover los músculos de la cintura",""
"empalizada","trecho de camino cuyo piso está afirmado con palos juntos",""
"empandorgarse","enredarse, dificultarse un asunto","cuide de que el negocio no se vaya a empandorgar"
"emparamado","empapado por la lluvia","no llevé el paraguas y llegué emparamado"
"emparamarse","mojarse mucho por acción de la lluvia",""
"emparamarse","aterir",""
"emparejada","regaño fuerte","mi papá me pegó una buena emparejada"
"emparejar","reprender",""
"empatar","empalmar dos cosas entre sí",""
"empañetar","enlucir un muro con un material adecuado como barro o cemento",""
"empelotar","desnudarse",""
"empelotar","despojar de los bienes a alguien","los ladrones lo empelotaron"
"empelotar","descubrir en público defectos de una persona","la prensa lo empelotó"
"empozarse","aposentarse el agua, quedar detenida en un sitio, formando un charco o pozo",""
"emputarse","encolerizarse",""
"en chaquess de","se emplea para indicar la ejecución de algo como pretexto para cubrir lo que verdaderamente se desea","en chaques de ir a misa, me veré con mi novio"
"encachorrarse","enfurecerse",""
"encanar","encarcelar",""
"encandelillar","encandilar, quedarse por un momento sin ver bien, por exceso de luz","las luces plenas de los carros encandelillan"
"encargar","dicho de una mujer, quedar embarazada","se casaron hace medio año y ya encargaron"
"encarrar","colocar ordenadamente objetos o piezas unos sobre otros","encarrar ladrillos, leña"
"enchanfainarse","entrar a ejercer un cargo o destino",""
"enchicharse","embriagarse con chicha",""
"enchicharse","encolerizarse",""
"enchinao","esterilla de cañas que se usa en paredes de bahareque, cielorrasos y armaduras de techos de teja",""
"enchipar","enrollar",""
"enchipar","enroscarse, especialmente en relación con las serpientes",""
"enchipar","enojarse",""
"enchoclar","en ciertos juegos, lograr introducir un objeto en un agujero",""
"enchocolar","en ciertos juegos, lograr introducir un objeto en un agujero",""
"encontrarse una guaca","hallar una oportunidad inesperada",""
"encontrón","altercado","tuvo un encontrón fuerte con su mejor amigo"
"encuerarse","desnudarse",""
"enculebrado","endeudado","desde que quedó sin trabajo está muy enculebrado"
"enfuertar","fermentar un líquido","enfuertar guarapo"
"engallar","ponerle a un vehículo accesorios de adorno","no engalles más el carro que no se ve bien"
"engerido","alicaído, desanimado, triste","el pollo está engerido porque está enfermo"
"englobado","ensimismado, distraído",""
"englobarse","distraerse, no estar concentrado",""
"engomado","aficionado a algo o a alguien","está engomado con el último libro que compró"
"engomarse","aficionarse a algo o a alguien",""
"enguayabado","dicho de una persona, que está padeciendo los efectos de haber consumido bebidas alcohólicas","todos estábamos enguayabados"
"enguayabado","triste o nostálgico por alguna situación",""
"enguayabarse","entristecerse o sentirse nostálgico por alguna situación","se enguayabaron mucho con la partida de su hija"
"enquimbarse","endeudarse","ve que si dejás a este muchacho bien enquimbao, vos sos el primero que tenés que responder!"
"enrular","hacer rulos o rizos en el pelo",""
"ensoparse","empaparse, humedecerse totalmente una persona por la lluvia o el sudor",""
"entechar","techar",""
"entotumarse","atolondrarse, aturdirse momentáneamente",""
"entrador","dicho de una persona, que se relaciona fácilmente con la gente","ella consigue fácil amigos, porque es muy entradora"
"enverracarse","enfurecerse",""
"envolatar","dejar de hacer algo por distracción u otra causa","me envolaté y no fui a la cita"
"envolatar","perder transitoriamente algo","envolató su cédula y no pudo inscribirse"
"envolatar","ponerse de mal genio",""
"envolatar","dilatar la solución de un asunto",""
"epa","se usa para animar o para denotar admiración",""
"escachalandrado","descuidado en el vestir","esa vigüela que suena/tiene la boca rasgada y también el que la toca/tiene su escachalandrada"
"escapito","casi","escapito me caigo"
"escogencia","elección",""
"escuadra","señal de tránsito en forma de escuadra que indica que los vehículos deben detenerse",""
"escuadra","pistola automática de cañón corto",""
"escurrírsele las babas","dicho de una persona, quedar alelada o encantada ante algo que le gusta o atrae poderosamente",""
"esmeraldero","persona que negocia esmeraldas",""
"espernancarse","abrirse de piernas",""
"espichar","apretar, oprimir algo, como un botón en ciertos objetos electromecánicos",""
"espichar","aplastar, despachurrar",""
"espuela","calcañar con callo o con alguna infección purulenta","tiene una espuela de esas incurables"
"espulgar","quitar las pulgas a los animales",""
"estar bien parado","gozar de buen nombre o aprecio con alguien o en una entidad","pedro está bien parado en el ministerio"
"estar como un chupo","estar muy cansado",""
"estar en aulagas","estar en afanes, aprietos, dificultades",""
"estar en el curubito","ocupar una posición importante",""
"estar en pinta","estar casi borracho",""
"estar esperando","estar embarazada",""
"estar joche","estar retardado para alguna actividad",""
"estar mal del chicle","estar mentalmente perturbado",""
"estar menopáusico","encontrarse de mal humor",""
"estar o verse en las delgaditas","encontrarse en aprietos o peligro inminente",""
"estar pinta","estar bien vestido",""
"estar podrido o picho en plata","tener mucho dinero",""
"estar vaciado","estar de malas, sin dinero, con problemas",""
"estar, seguir o mantenerse en su ley","conservar con firmeza usos, costumbres u opiniones",""
"estartazo","impulso inicial, arranque","expertos sostienen que debería hacerse una emisión para darle un estartazo a la economía"
"estartazo","reacción ante una sorpresa",""
"estero","humedal, pantano",""
"estilógrafo","pluma fuente",""
"estrellón","choque fuerte","hubo un estrellón terrible en la autopista"
"exequibilidad","dicho especialmente de las leyes, decretos, ordenanzas y acuerdos, exequible, ejecutable",""
"experticio","peritazgo, trabajo o estudio que hace un perito",""
"fajarse","desarrollar una actividad o tarea con éxito y brillantez","se fajó con ese discurso"
"faldudo","dicho de un terreno, empinado",""
"falla","en los planteles escolares, falta de un alumno a clase",""
"falla","señal con que se indica la falta en la lista de alumnos",""
"faltón","dicho de una persona, que no cumple las obligaciones o compromisos",""
"fama","carnicería, expendio de carne",""
"fatuto","dicho de una persona, auténtica, pura","indio fatuto"
"fichuria","conjunto de menudencias de cabrito y oveja",""
"fierro","revólver",""
"fifirichas","que presume de gracioso","no es gracioso; es apenas un fifirichas"
"fifirichas","dicho de una persona, que le gusta aparentar","es un fifirichas: dijo que tenía una hacienda"
"filo","lascivia",""
"filo","hambre","tener filo"
"fique","planta de cuyas hojas carnosas se extrae una fibra que es utilizada para la fabricación de diversos productos como costales, cestos, alpargatas, etc",""
"fisto","pene",""
"fisto","varilla de acero para cargar una escopeta de pistón con balines y pólvora",""
"flacuchento","flaco",""
"floja de baticola","dicho de una mujer, que es fácilmente asequible a las insinuaciones amorosas",""
"flojo del estómago","que padece diarrea",""
"floripondio","elogio pomposo, recargado de adjetivos y comparaciones exageradas",""
"flota","empresa de buses",""
"flota","autobús de servicio intermunicipal o interdepartamental","me fui en flota"
"foforro","fiesta informal",""
"follado","falda de bayeta usada por campesinas indígenas",""
"fondo","caldero de metal usado en los trapiches o en fábricas de jabón para cocinar los ingredientes",""
"formal","dicho de una persona, atenta, amable, servicial",""
"formaleta","molde de madera o acero para construir muros de tierra pisada o estructuras de concreto",""
"fosforera","encendedor de bolsillo",""
"franela","prenda interior que cubre el tórax, sin cuello y de mangas muy cortas o sin ellas",""
"fregado","astuto, taimado",""
"fregado","travieso, inquieto",""
"fregado","difícil en el trato",""
"fregar","importunar, fastidiar",""
"fregar","perjudicar, hacer daño",""
"fregón","impertinente, molesto, fastidioso",""
"fritanga","conjunto de alimentos fritos, como la asadura, la morcilla, el chicharrón, las papas, el plátano, la carimañola",""
"frondio","malo, horrible, de mal gusto","la película me pareció frondia"
"fucha","pelea, gresca","se armó la fucha"
"fucú","infortunio, mala suerte",""
"fuetazo","latigazo",""
"fuete","látigo",""
"fuetear","azotar",""
"fuetera","tanda de azotes",""
"fufurufa","prostituta",""
"fundillo","parte delantera de los pantalones",""
"furrusca","gresca, pelea",""
"furuminga","enredo, confusión, lío","en la plaza de mercado se formó la furuminga"
"fuñir","molestar, importunar",""
"fuñir","embromarse, perjudicarse",""
"fólder","carpeta de tapa dura, con argollas y hojas para escribir",""
"gabela","ventaja o provecho que se obtiene en alguna actividad",""
"gadejo","ganas de joder, de molestar",""
"gafufo","que usa anteojos o gafas",""
"gaita","especie de flauta vertical confeccionada con largos fotutos del corazón del cardón y en el extremo superior tiene adaptada una ocarina de cera de abeja y polvo de carbón vegetal",""
"gaja","gajo de plátanos adheridos que forman parte de un racimo",""
"galapaguero","dicho de un caballo, manso y adiestrado para que lo monten niños o señoras",""
"galerón","baile popular en parejas, en que el varón y la mujer tratan de atraerse mutuamente. al compás del baile suelen cantarse cuartetas y seguidillas","galerón, vámosle dando/con tripas y corazón;/ más vale en tu boca un beso/que en la calle un tropezón"
"gallada","grupo de amigos que se reúnen con frecuencia para divertirse","la gallada del barrio es muy grande"
"gallinacear","buscar conquistas amorosas",""
"gallinazo","hombre mujeriego y galanteador",""
"gallo","defecto técnico de un vehículo",""
"galpón","cobertizo grande, con paredes o sin ellas",""
"galápago","silla de la bicicleta",""
"galápago","silla de montar en la que cabalgan las mujeres","seguidos de tía nieves ¡que iba más charra! aferrutada de las horquetas del galápago"
"gamonal","persona que ejerce influencia preponderante en un pueblo o en una comunidad",""
"gamín","colq . persona, brusca y tosca en su trato",""
"gamín","niño o joven que vive en la calle y pide limosna o roba",""
"gancho","atractivo para lograr éxito en alguna actividad","la rifa del carro fue un gancho para la promoción del nuevo supermercado"
"gancho","instrumento curvo en la punta y un soporte que se utiliza para colgar la ropa","dame un gancho para colgar el pantalón"
"garoso","hambriento, comelón",""
"garra","pedazo de cuero endurecido y arrugado",""
"garra","piel del cerdo que se usa para preparar platos típicos","fríjoles con garra"
"garra","persona flaca y envejecida",""
"garroteada","paliza",""
"garrotera","paliza, serie de golpes que se le dan a una persona o animal",""
"garrotera","pelea","los echa pa'l río a que echen sus garroteras por allá en sus ranchos"
"garrotera","alegato acalorado o violento",""
"garruchento","que solo tiene garra o que es muy flaco, flacuchento",""
"gastar pólvora en gallinazos","emplear esfuerzos en asuntos sin importancia",""
"gatear","deslizarse furtivamente con fines eróticos, especialmente en la noche","le estaba gateando a la empleada"
"gato","bíceps, músculo",""
"gavilla","pandilla",""
"glaxo","individuo elegante en el vestir y en las maneras",""
"gocho","dicho de una persona o un animal, que le falta una oreja",""
"gocho","dicho de una vasija, que carece de un asa",""
"godarria","conjunto de miembros del partido conservador",""
"godo","persona que pertenece al partido conservador",""
"golosa","juego infantil que consiste en ir recorriendo en un pie un dibujo de cuadros enumerados que se hace en el suelo",""
"golpe","cada una de las tres comidas principales del día","a cómo está el golpe? ya conseguí para el segundo golpe"
"golpera","tanda de golpes, especialmente de puñetazos",""
"goma","deseo obsesivo por algo","vive con una goma por los animales"
"goma","sustancia que se usa para pegar","cierra la carta con goma"
"goma","golosina blanda hecha con azúcar, gelatina y colorantes",""
"gomelo","joven de clase media o alta que se viste en forma llamativa y usa un lenguaje peculiar",""
"gomoso","obsesivo por algo","mi prima es una gomosa de los horóscopos"
"gordolobo","ron blanco",""
"gorobeto","dicho de una persona o cosa, torcida, encorvada",""
"goteras","alrededores o afueras de un pueblo o de una ciudad",""
"goterear","caer las primeras gotas de lluvia",""
"goterear","tomar licor o comer a costa de otras personas",""
"goterero","dicho de una persona, que tiene por costumbre tomar licor a costa de otros",""
"gozarse","disfrutar plenamente de algo","me gocé la fiesta"
"greca","cafetera, máquina o aparato para preparar el café, generalmente en sitios públicos",""
"gripa","enfermedad infecciosa que produce congestión nasal, tos y, en algunos casos, fiebre",""
"gritadera","griterío",""
"guabina","aire musical popular que se canta y se baila en la zona andina colombiana",""
"guaca","tesoro escondido",""
"guacal","cesta o jaula de madera o bejucos flexibles, que se utiliza para el transporte de aves de corral u objetos livianos o pesados",""
"guachafita","desorden, algarabía",""
"guachapear","cortar o tumbar el rastrojo o maleza de un modo ligero o incompleto",""
"guachaquear","en el juego de dados, hacerlos sonar moviéndolos entre la mano, antes de arrojarlos a la mesa",""
"guachaquear bien","hacer bien una cosa",""
"guachaquear mal","hacer mal una cosa",""
"guacharaca","instrumento musical de percusión hecho con caña y con unas pequeñas ranuras que suenan al rasparlo",""
"guacharacazo","trago de licor",""
"guacharacazo","golpe",""
"guache","persona grosera y maleducada",""
"guacherna","gente baja, maleducada y vulgar","es un criatura tan rara, tan sumamente rara, que no le gusta sino el roce con la guacherna y todo lo que sea vulgar y democrático"
"guacherna","evento nocturno que se celebra en el carnaval de barranquilla y en el que hay desfile de comparsas, música y baile",""
"guacherna","riña, alboroto entre gente baja",""
"guadua","especie de bambú grueso y relativamente liviano que se emplea en las construcciones tanto rústicas como decorativas",""
"guagua","niño pequeño",""
"gualí","canto religioso de los negros chocoanos que se entona en el funeral de un niño",""
"guama","fruto del guamo",""
"guama","molestia, fastidio",""
"guambía","especie de mochila de fibra vegetal, generalmente cabuya, que se teje en forma de malla o red",""
"guando","camilla rústica, hecha de palos y varas","lo llevan en guando"
"guandoca","cárcel",""
"guandolo","ron de contrabando",""
"guandolo","guarapo",""
"guandoy","guarapo",""
"guango","conjunto de cosas largas atadas","véndame ese guango de leña"
"guapirrear","aguijonear con gritos o excitar","en córdoba, guapirrear es la máxima expresión de la felicidad"
"guapirreo","grito que se emite para expresar alegría, placer o burla",""
"guapucha","pez pequeño de agua dulce",""
"guaraca","honda",""
"guarapazo","golpe muy fuerte",""
"guarapería","tienda en donde principalmente se vende guarapo","en el camino'e la guardia/tengo una guarapería/marujita es la que vende,/josefita es la que fía,/mariantonia es la que cuenta/los riales a mediodía"
"guarapo","jugo de la caña de azúcar fermentado o sin este proceso",""
"guarapo","bebida generalmente hecha de miel o panela, que algunos toman más o menos fermentada",""
"guaricha","mujer grosera, peleadora",""
"guaricha","prostituta",""
"guarilaque","aguardiente, licor fuerte",""
"guaro","aguardiente","tomémonos unos guaros para celebrar el triunfo"
"guarruz","bebida un tanto espesa y fermentada que se prepara con agua, azúcar y arroz",""
"guarruz","sedimento constituido por los granos del maíz en la chicha",""
"guarruz","sedimento del masato de arroz",""
"guasca","hierba cuyas hojas se usan para aromatizar el ajiaco",""
"guasca","campesino que llega a la ciudad por primera vez",""
"guasca","tira de cuero o de otro material que se usa como rienda, cordel o látigo",""
"guasá","instrumento musical que se ejecuta sacudiendo un cañuto de guadua que contiene semillas o granos",""
"guate","hombre del interior",""
"guato","dicho de un animal o persona, que tiene poca estatura",""
"guato","dicho de la papa, que es pequeña","papa guata"
"guaucho","dicho de un niño, que es huérfano o ha sido abandonado",""
"guaucho","dicho de un animal, que ha perdido a su madre","un potro guaucho"
"guayabo","resaca, malestar posterior a la embriaguez",""
"guayabo","tristeza, melancolía, nostalgia","tengo guayabo de mi tierra"
"guayo","zapato deportivo de suela gruesa y con taches que se usa para jugar fútbol",""
"guayuco","prenda de vestir que cubre los genitales, usado por algunos indígenas",""
"guerrillo","guerrillero, miembro de los grupos subversivos",""
"guindar","colgar la hamaca u otro objeto",""
"guisa","empleada del servicio doméstico",""
"gurbia","hambre",""
"gurbia","herramienta de carpintería que consta de una barra pequeña curva que se utiliza para tallar superficies",""
"gurre","mujer fea y desagradable","se volvió un gurre"
"gurre","armadillo",""
"gurria","persona o cosa fea",""
"guámbito","niño",""
"génova","butifarra, embutido preparado principalmente con carne de cerdo, en pequeñas bolas, que suele presentarse en sartas",""
"güete","contento, alegre",""
"güevón","forma de tratamiento de extrema confianza","qué hubo, güevón"
"güinche","dicho de un fruto, duro y seco, por haber madurado prematuramente","la yuca está güinche"
"güinche","máquina que consiste en un torno que enrolla un cable, cuerda o cadena y se utiliza para levantar cargas pesadas",""
"habano","banano, plátano que se come crudo",""
"hablar como una revendedora","hablar de manera vulgar",""
"hacer algo a la gachapanda","realizar algo a la ligera, en forma desordenada",""
"hacer algo a la guachapanda","realizar algo a la ligera, en forma desordenada",""
"hacer cositas","realizar el acto sexual",""
"hacer cuarto","colaborar con alguien en alguna situación","mis amigos me hicieron cuarto para poder salir antes de clase"
"hacer cucarrón","rezongar","los hombres hacen el cucarrón que se estila en nuestros colegios"
"hacer el mercado","adquirir los productos alimenticios que requiere la familia",""
"hacer escuadra","detenerse un vehículo en el sitio indicado",""
"hacer hasta para vender","excederse, propasarse","en la fiesta pedro hizo hasta para vender"
"hacer locha","haraganear",""
"hacer moñona","triunfar en varias actividades a un mismo tiempo",""
"hacer pistola","incumplir con algo prometido, no complacer a alguien",""
"hacer pistola","ademán de burla u ofensa que consiste en extender el dedo medio o del corazón y doblar el índice y el anular",""
"hacer popó","defecar, especialmente los niños",""
"hacer roña","actuar con lentitud y demora deliberadamente",""
"hacer una vaca","hacer una colecta para un fin determinado",""
"hacerle el mandado","embarazar a una mujer",""
"hacerle gavilla","a alguien . actuar dos o más personas contra una sola",""
"hacerle la tiradera","burlarse",""
"hacerse","una persona en un lugar . sentarse, colocarse","dónde me haré yo? –hágase ahí"
"hacerse el gato bravo","mostrar ostensiblemente el enojo",""
"hacerse la paja","dicho de los hombres, masturbarse",""
"hambriento","tacaño",""
"hartón","plátano de gran tamaño, que se come verde, amarillo o maduro, cocinado o al horno",""
"hatillo","atado o sobrecarga pequeña que les ponen a veces a las bestias",""
"hechor","dicho del asno, destinado para cubrir o reproducir",""
"helaje","frío intenso","está haciendo un helaje, horrible"
"hermanolo","hermano","qué hubo, hermanolo"
"herrero","persona cuyo oficio consiste en poner herraduras a los caballos",""
"herrón","punta metálica del trompo",""
"hibia","planta de climas fríos que produce un tubérculo comestible",""
"hijo de puta","expresión que se emplea como ofensa o como interjección emotiva",""
"hijueputa","expresión que se emplea como ofensa o como interjección emotiva",""
"hisopo","escobilla para pintar paredes",""
"hogao","especie de salsa a base de tomate y cebolla usada para acompañar diversas comidas",""
"hogo","especie de salsa a base de tomate y cebolla usada para acompañar diversas comidas",""
"honrar","cumplir la palabra empeñada",""
"hora(s) pico","horas de mayor tráfico o demanda",""
"horcón","madero hincado en el suelo que sirve para sostener algo","para los blancos, mogolla;/pa' los negros, mojicones;/para los recién casados/cama con güenos horcones"
"hostigante","dicho de una comida o bebida de dulce, empalagosa",""
"hostigar","dicho de un alimento o bebida dulce, empalagar",""
"hucha","voz que se emplea para azuzar a los perros",""
"huchar","azuzar a los perros",""
"hueguera","enfermedad del ganado vacuno que provoca inflamación de los senos craneales y cuernos",""
"huequera","enfermedad del ganado vacuno que provoca inflamación de los senos craneales y cuernos",""
"hueso de la alegría","cóxis",""
"huevo tibio","el que es a medio cocer",""
"huevonear","hacer o decir necedades",""
"huevos en cacerola","huevos fritos",""
"huevos pericos","huevos revueltos",""
"huevón","forma de tratamiento de extrema confianza","qué hubo, güevón"
"humero","humareda","en cuanto prenden los patrones sus churumbelas de plata, cargadas con tabaco de la virginia y las"
"hunche","afrecho, hollejo del maíz y otros cereales",""
"ibia","planta de climas fríos que produce un tubérculo comestible",""
"igua","papa de baja calidad que nace en una sementera de semilla que queda rezagada al tiempo de la cosecha",""
"iji","expresa negación enérgica","iji! si me voy a levantar temprano"
"imbombera","estado enfermizo de una persona que se manifiesta por hinchazón y palidez excesiva",""
"imbombo","hinchado, muy pálido, enfermizo",""
"imbombo","torpe, atontado, aturdido","desde ese día prencipió a ponerse imbombo y a vivir ai medio dormido"
"indagatoriar","recibir indagatoria a un acusado",""
"indios","plato compuesto de arroz, carne, garbanzos y porciones de huevo que se cocina envuelto en hojas de repollo",""
"instalación","ceremonia solemne con que se inician las actividades de un organismo o entidad","instalación del congreso nacional; instalación de una junta directiva"
"intenso","cansón","no sea tan intenso"
"interiores","calzoncillos",""
"interiores","calzones íntimos de mujer",""
"intervenir","hablar una persona para tomar parte en un asunto","él no quiso intervenir en la discusión"
"inyectología","aplicación de inyecciones",""
"itaña","uva silvestre","pobrecita guacamaya,/mucha lástima me da:/se acabaron las itañas,/y ahora ¿qué comerá"
"ja","voz con que se ahuyenta las reses y se anima a que caminen los bueyes de carga",""
"jai","alta sociedad, aristocracia",""
"jailoso","dicho de una persona, que pertenece a la alta sociedad o aristocracia",""
"jala","borrachera",""
"jalado","ebrio, borracho","llegó jalado a la reunión"
"jalar","emborracharse","se jalaron muy rápido"
"jalar","hacer algo con destreza y eficacia","se jaló un discurso estupendo"
"jalarle","a algo . practicar alguna actividad","le jala bastante a la mecánica"
"jalarle","comprometerse a algo","no le jalo a hacer ese viaje"
"jarocho","alegre, desenvuelto, ágil de movimientos",""
"jartar","ingerir licor u otro líquido","estuvieron jartando toda la tarde"
"jartar","fastidiarse con algo o alguien","me jarté de este juego"
"jartera","fastidio, molestia","qué jartera con tanto trámite"
"jartera","aburrimiento, hastío",""
"jartera","borrachera",""
"jarto","molesto, desagradable",""
"jarto","borracho",""
"jarto","fastidiado, incómodo",""
"jecho","dicho de un fruto, hecho, maduro",""
"jecho","dicho de una persona, entrada en años",""
"jedentina","hediondez",""
"jediondera","olor desagradable, hediondez",""
"jediondera","molestia","deje la jediondera"
"jediondo","hediondo",""
"jediondo","se usa para referirse a alguien, sea en forma amistosa o despectiva","qué se hizo el jediondo ese"
"jerrequejere","broma, chanza",""
"jerrequejere","desorden, barullo","en la plaza del pueblo se formó un jerrequejere con motivo de la manifestación"
"jetabulario","vocabulario soez",""
"jibia","planta de climas fríos que produce un tubérculo comestible",""
"jinchera","borrachera",""
"jincho","lleno de alimento, de dinero, de piojos, etc",""
"jincho","borracho, ebrio",""
"jipata","mujer encinta","en honda me tienen preso/y en la ciudad de la plata/porque no quise querer/una que andaba jipata"
"jipato","dicho de una persona, muy pálida",""
"jipato","dicho de una persona, contrahecha",""
"jochar","aguijar al ganado",""
"joda","palabra comodín que puede designar cualquier cosa","alcánceme la joda esa"
"joda","fastidio, molestia","deje la joda"
"jodencia","joda",""
"jodido","dicho de una persona, que se encuentra en mala situación económica o de salud","está jodido, no ha podido conseguir trabajo"
"jodido","dicho de una persona, díficil de tratar",""
"jodido","astuto, marrullero","no hagas negocios con ella que es muy jodida"
"jojoro","podrido, esponjoso, sin sustancia","el maíz no sirve, está jojoro"
"jondear","tirar, lanzar, arrojar",""
"jopo","trasero, nalgas",""
"joropear","bailar el joropo",""
"joropear","bailar, divertirse",""
"joropo","baile popular que se practica principalmente en los llanos orientales","esto de cantá en joropo,/no es no más abrir la boca;/póngale atención al verso,/conteste cuando le toca"
"josefino","homosexual",""
"jota","voz que se usa para arrear el ganado",""
"joto","paquete o bulto pequeño",""
"joto","embarazo","ya se le nota el joto"
"joto","pleito lugareño","se prendió el joto en curití"
"joto","colonia de avispas","el muchacho alborotó un joto"
"joto","jolgorio, fiesta bailable","armaron un joto hasta el amanecer"
"juagar","enjuagar",""
"juaica","anciano fabuloso que vive en las montañas y que persigue a las muchachas casaderas","la muchacha que a los quince/no se acueste con sus taitas,/que se tranque bien la puerta/porque se la lleva el juaica"
"juepa","voz que expresa alegría, especialmente en los bailes",""
"julepear","insistir, urgir",""
"juma","borrachera",""
"jumarse","emborracharse",""
"jumo","borracho",""
"jurgo","montón, gran cantidad","me dijo un jurgo de cosas"
"jurgonera","vivienda pequeña y muy pobre",""
"jurumba","pipa para fumar","por esta bajada abajo/va un conejo que zumba/recogiendo su tabaco/para echarle a su jurumba"
"jurungo","idioma extraño","habla un jurungo que no se le entiende"
"jurungo","gitano",""
"jurungo","extranjero","se casó con una jurunga"
"jute","madera medio podrida",""
"jíbaro","traficante de narcóticos",""
"kárdex","archivo de documentos",""
"kínder","establecimiento de educación preescolar",""
"kínder","etapa o grado preescolar","mi sobrinito está todavía en kínder"
"la quinta porra","un lugar muy lejano","ese barrio queda en la quinta porra"
"la ropa sucia se lava en casa","expresión que se refiere a la conveniencia de no exponer por fuera problemas domésticos",""
"ladrón","especie de sifón para sacar gasolina del tanque de los vehículos automotores",""
"ladrón","especie de cono metálico para sacar cereales de los sacos que lo contienen, sin necesidad de abrirlos",""
"lagartear","intrigar, importunar para obtener algún beneficio como, por ejemplo, un empleo, una invitación",""
"lagartería","comportamiento típico de una persona intrigante","me choca la lagartería de ese señor"
"lagarto","persona que importuna, que intriga, que aspira a figurar sin tener méritos suficientes","ese tipo es un lagarto"
"lama","moho",""
"lama","musgo",""
"lambedor","dedo índice",""
"lambeladrillo","beato, que frecuenta mucho los templos y se dedica a toda clase de devociones",""
"lamber","lamer",""
"lamber","adular",""
"lambericas","persona aduladora y servil",""
"lambetazo","acto de adulación",""
"lambetazo","cada movimiento de la lengua al lamer",""
"lambisquear","lamer de prisa y con ansia",""
"lambonear","adular, entrometerse",""
"lambonería","adulación",""
"lambón","entrometido, adulador","¡no le aguanto más a aquella vieja y a aquel lambón"
"lamparazo","trago grande de licor",""
"lamparazo","golpe seco",""
"lana","dinero, plata",""
