palabra;significado;ejemplo;fuente
juanesca;Sopa preparada con calabaza, granos y tubérculos, únicamente para los viernes de Semana Santa.;Las costumbres de la comida no han cambiado, pues en el caso del jueves Santo se mantiene el tema de los doce platos y el viernes lo de las tres ollas que incluyen platos de juanesca, chocolate y dulce de guayaba.;AcademiaColombianaLengua
juanvalerio;Fritura hecha con masa de plátano verde machacado con cebolla, rellena de chicharrón.;Los deliciosos juanvalerios se sirven calientes con una buena taza de chucula.;AcademiaColombianaLengua
juchar;Incrustar el toro los cuernos a alguien.;El torero se dejo juchar en la pierna izquierda.;AcademiaColombianaLengua
juepuerca;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
juete;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
juez;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
jugada;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
jugar;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
juglar;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
jugo;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
juguete;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
jujú;Porción de plátano verde cocido o molido mezclado con queso y manteca, que se frita o asa.;Otra forma de preparar los plátanos es el jujú, en el cual se machacan plátanos cocidos y se hacen amasijos para luego freírlos o asarlos.;AcademiaColombianaLengua
julenco;Referido a una persona o animal, que cojea.;Después de que se cayó de la bicicleta, Juanita quedó julenca y no quiere ir al médico.;AcademiaColombianaLengua
jullero;Referido a una persona, mentirosa.;Querido, no seas jullero. Yo no dije eso, no inventes.;AcademiaColombianaLengua
juma;Borrachera.;A lo que Sergio, en medio de la juma, muy conforme le dijo: ‘Bueno pue, entonce dame sancocho de hamaca’.;AcademiaColombianaLengua
jumbo;En el ejército, ejercicio físico que consiste en dar un giro completo sobre sí mismo con los brazos extendidos.;Cuando un sargento considera mal cumplida una orden, el castigo es hacer jumbos por mucho tiempo.;AcademiaColombianaLengua
junco;Grupo de plantas endémicas de altura media, tallos cilíndricos largos y hojas lanceoladas que crecen en zonas húmedas y se usan en la fabricación de artesanías.;Es una investigación sobre agentes patógenos que afectan al junco, materia prima de la artesanía elaborada en el municipio de Fúquene.;AcademiaColombianaLengua
jundillo;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
juniniar;Pasear por el centro de Medellín, especialmente por la calle de Junín.;El plan de hoy es juniniar y vitriniar para revivir la vieja tradición de disfrutar de la oferta comercial de la calle hoy conocemos como Junín.;AcademiaColombianaLengua
juntos;Referido a dos personas o actividades mencionadas previamente, ambos.;Juntas cosas hicimos a la vez: oir música y bailar.;AcademiaColombianaLengua
jura;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
jurel;"Pez marino con escamas, cuerpo fusiforme, de color amarillento con reflejos verdes, aleta caudal muy bifurcada; muy apreciado en la alimentación.";Un cardumen de jurel que para muchos pescadores de Cartagena nunca antes se había acercado a la playa, apareció ayer en el sector.;AcademiaColombianaLengua
jurgo;Cantidad excesiva de algo.;Imagínense que le pidió, como dice él, un jurgo de plata por poner unas cámaras de video por todo el conjunto.;AcademiaColombianaLengua
jurguillas;Referido a una persona, entrometida.;Ejemplo no encontrado.;AcademiaColombianaLengua
juro;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
juste;Cuerpo.;¡Mueva ese juste que estamos en una fiesta, no en un velorio!;AcademiaColombianaLengua
jute;Dulce que se prepara con papa pequeña llamada riche que se deja fermentar mínimo dos meses sumergidas en un hoyo de agua, luego se sacan y preparan con panela.;Papa hecha dulce en el ancestral jute boyacense.;AcademiaColombianaLengua
jíbaro;Persona que expende sustancias psicoactivas en pequeñas cantidades.;Unas guerritas: muchachos peleándose por un barrio, por una cuadra, por un jíbaro de esquina.;AcademiaColombianaLengua
jícara;Palma que crece de 5 a 10 m, de tallo de color café, de hojas grandes dentadas, flor envuelta en usa especie de hoja fibrosa café oscuro y de frutos esféricos.;Aunque recientemente se han cambiado los materiales tradicionales por tejas, las hojas de jícara o cabecinegro siguen siendo empleadas por su frescura y durabilidad.;AcademiaColombianaLengua
kartismo;Deporte de competencia que se practica en karts.;Es evidente que el emocionante deporte del kartismo en cualquier parte del mundo es algo costoso.;AcademiaColombianaLengua
kartódromo;Lugar donde se realizan las carreras de karts.;Ahora, con los kartódromos de Cajicá y Duitama funcionando, esta disciplina tiene, al menos para los bogotanos, un futuro muy promisorio.;AcademiaColombianaLengua
kepis;Gorra militar de forma ovalada y con visera.;Cuando el miembro del nivel ejecutivo, suboficial o agente utilice cubrecabezas tipo kepis con universal blanca, llevará carrillera blanca.;AcademiaColombianaLengua
kermesse;Evento en el que se venden objetos, comida, etc., generalmente con fines benéficos.;En la Kermesse, los asistentes podrán encontrar una variada oferta gastronómica, inflables para los niños.;AcademiaColombianaLengua
kerosene;Sustancia derivada del petróleo, amarillento y transparente, que se usa como combustible en lámparas y estufas.;El kerosene y el ACPM son productos de fácil consecución en el hogar, en donde tienen amplio uso, como desinfectante, insecticidas y para el alumbrado.;AcademiaColombianaLengua
kick;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
kikato;Persona menor de 15 años.;Ese día con mi padre, lo más impactante para mí fue ver en uno de los videos a una niña (sí, una kikata en un concierto) cantando las canciones de Diomedes Díaz.;AcademiaColombianaLengua
kilate;Unidad de pureza del oro que equivale a 1/24 parte de oro contenida en una aleación.;La masa de las piedras preciosas se medía en quilates (no confundir este quilate, que es una semilla de masa 0,2 g de un árbol árabe, con el kilate o fracción másica multiplicada por 24 de oro en una aleación).;AcademiaColombianaLengua
kilele;Danza colectiva de origen africano donde los bailarines se ubican en círculos dando pasos cortos hacia adelante y atrás, coreando versos.;Todo el mundo está bailando Kilele / Yo también lo sé bailar, Kilele.;AcademiaColombianaLengua
kilometraje;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
kilómetro;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
king;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
kumis;Bebida preparada con leche fermentada y azúcar.;Se puede tomar kumis al desayuno acompañado de cereal o frutas.;AcademiaColombianaLengua
kínder;Colegio para niños entre 4 y 5 años.;La entrada al kínder es una de las etapas cruciales en el crecimiento y desarrollo de los niños.;AcademiaColombianaLengua
labial;Cosmético usado para pintar los labios en forma de barra y protegido por un estuche generalmente cilíndrico y con tapa.;Ejemplo no encontrado.;AcademiaColombianaLengua
laborar;Tener una actividad o trabajo remunerado.;Todo el personal que labora en esta empresa, lo hace teniendo siempre en cuenta que Diario del Sur tiene el lemmaSign: construir, no destruir.;AcademiaColombianaLengua
ladilla;Persona o cosa que causa mucho fastidio o malestar.;Ejemplo no encontrado.;AcademiaColombianaLengua
ladino;Referido a una persona, charlatana, mentirosa.;Si quiere entretener a ese señor, mande a Ana que es bien ladina y entradora.;AcademiaColombianaLengua
ladrón;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
lagartear;Tener una persona un comportamiento adulador y oportunista para obtener un puesto de trabajo o algún beneficio propio sin haber hecho ningún mérito.;Los premios que me han otorgado no los he lagarteado, me han llegado.;AcademiaColombianaLengua
lagartija;Ejercicio físico en el cual el cuerpo, completamente estirado, boca abajo y apoyado en la punta de los pies, sube y baja cada vez que se flexionan los brazos cuyas palmas de las manos permanecen sobre el suelo.;Las lagartijas son ejercicios ‘pesados’, pero muy efectivos, pues al trabajar con tu propio peso, ejercitas una mayor cantidad de grupos musculares.;AcademiaColombianaLengua
lagarto;Referido a una persona, que es aduladora y oportunista para obtener generalmente un puesto de trabajo o algún beneficio propio sin haber hecho ningún mérito.;Politiquero de tiempo completo que en su rostro refleja falsedad y picardía, todo un lagarto.;AcademiaColombianaLengua
lama;Hierba pequeña de color verde y tupida que crece generalmente en lugares húmedos, rocas y troncos de los árboles.;El musgo y la lama son protectores de las fuentes de agua y actúan como colchón equilibrador de la humedad en épocas secas.;AcademiaColombianaLengua
lamber;Pasar la lengua sobre algo varias veces, lamer.;Ejemplo no encontrado.;AcademiaColombianaLengua
lambericas;Persona aduladora.;Ejemplo no encontrado.;AcademiaColombianaLengua
lamberico;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
lambido;Referido a una persona, que es maliciosa o astuta.;-¿Tiburcio? Lambido que es, después caí en la cuenta de que todo era porque se figuraba que yo le hacía buena cara al primero que veía.;AcademiaColombianaLengua
lambonear;Adular o tener un comportamiento servil generalmente con sus superiores.;Algunos periodistas de emisoras del país, cada vez que sale un CD, se dedican únicamente a lambonear a los músicos, no les hacen una crítica constructiva.;AcademiaColombianaLengua
lambón;Referido a una persona, aduladora y servil generalmente en relación con sus superiores.;En cada oficina y en cada compañía hay empleados “lambones”que hacen de todo por quedar bien con sus jefes.;AcademiaColombianaLengua
lamer;Consumir el ambil diluyéndolo en la boca, especialmente con fines curativos y rituales;"El ambil siempre lo han lamido hombres y mujeres; el mambe si es casi es casi exclusivamente para los hombres.";AcademiaColombianaLengua
lampareado;Referido a una persona o cosa, salpicado con una sustancia.;Cuando despertó se dio cuenta que estaba a orillas del río, bajo una mata de espinas y se encontraba lampareado de estiércol de vaca.;AcademiaColombianaLengua
lamparón;Raspadura o herida que se hace en alguna parte del cuerpo.;Estoy bien, a pesar del lamparón que tengo en el brazo por la caída de ayer.;AcademiaColombianaLengua
lamprea;Persona que come mucho y compulsivamente.;Comía puñados repletos de hormigas culonas como vil lamprea.;AcademiaColombianaLengua
langaruto;Referido a una persona, de contextura delgada y frágil.;Ejemplo no encontrado.;AcademiaColombianaLengua
lanza;En el ejército, compañero de confianza.;Mi lanza y yo fuimos los soldados más puntuales del batallón.;AcademiaColombianaLengua
lanzamiento;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
lapa;Roedor de hasta 50 cm de longitud, pelaje espeso y liso de color café, con hileras de manchas blancas en el lomo, cola y patas cortas, hocico alargado y orejas pequeñas y redondas.;Ejemplo no encontrado.;AcademiaColombianaLengua
lapicero;Bolígrafo, instrumento que se usa para escribir que tiene en su interior un tubo de tinta y en uno de sus extremos una punta redonda.;Ejemplo no encontrado.;AcademiaColombianaLengua
lapo;Golpe fuerte.;Ejemplo no encontrado.;AcademiaColombianaLengua
largada;En una carrera, partida de los competidores.;Ejemplo no encontrado.;AcademiaColombianaLengua
largar;Arrojar o alcanzar algo.;¡Apúrele!, lárgueme esa vaina que está en el escritorio porque la necesito con urgencia.;AcademiaColombianaLengua
lata;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
latonero;Persona que tiene por oficio la reparación de la carrocería de los vehículos.;Se requiere latonero con experiencia de 3 años en el sector automotriz.;AcademiaColombianaLengua
latonería;Oficio que consiste en la reparación de la carrocería de un vehículo.;Después de algún accidente, por leve que sea, se necesita someter al vehículo a trabajos de latonería y pintura.;AcademiaColombianaLengua
lavada;Empaparse una persona completamente con la lluvia.;¡Olvidó la sombrilla y se pegó una lavada tenaz!;AcademiaColombianaLengua
lavadero;Lugar generalmente en los ríos en el cual se recoge y lava la arena en vasijas para buscar oro.;Para extraer cada gramo de oro se requieren dos o tres de mercurio, que es vertido a los ríos en los lavaderos.;AcademiaColombianaLengua
lavaperros;Integrante de una banda criminal y subalterno de un delincuente de alto rango al que sigue sus órdenes.;Esos 'lavaperros' les cumplen consignas a capos o a mafias que están en otras partes.;AcademiaColombianaLengua
lavaplatos;Pila que tiene generalmente un grifo y un desagüe en el cual se lavan los platos y utensilios de la cocina.;Pone la botella sobre la estufa, muy cerca del lavaplatos, y abre la puerta con una mezcla de disgusto y curiosidad.;AcademiaColombianaLengua
lavaza;Mezcla de residuos orgánicos de alimentos que sirve para alimentar a los cerdos.;El principal mercado de los cerdos sacrificados […], es la población Bogotana, siendo en su mayoría alimentados con lavazas que no garantizan la calidad proteínica y sanitaria de la carne.;AcademiaColombianaLengua
lazo;Cuerda tejida en forma de trenza que se usa generalmente para sujetar cargas o colgar objetos pesados.;En Colombia, se cultiva el fique y se extrae la cabuya para la fabricación de hamacas, redes, lazos y costales.;AcademiaColombianaLengua
lea;Mujer joven, muchacha.;¡Qué linda está esa lea!;AcademiaColombianaLengua
lebranche;Nombre de varias especies de pez de agua dulce, de hasta 36 cm de longitud, cuerpo fusiforme con escamas, aleta dorsal transparente, con hábitos gregarios y comestible.;Ejemplo no encontrado.;AcademiaColombianaLengua
leche;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
lechero;Referido a un bus o medio de transporte público, que es lento porque se detiene muchas veces durante su trayecto.;Atrás quedó el denominado bus corriente o 'lechero'. Los viejos buses de 20 o 25 pasajeros desaparecieron y se dio vía a los de 40 personas.;AcademiaColombianaLengua
lechona;Plato típico en el que la hembra joven del cerdo se come horneada y rellena de arroz, carne de cerdo, arvejas y otros ingredientes.;La lechona es un plato típico del Tolima que generalmente se sirve con arepas blancas e insulso.;AcademiaColombianaLengua
lechosa;Papaya.;Ejemplo no encontrado.;AcademiaColombianaLengua
legajador;Utensilio de oficina que consiste en una lámina rectangular de cartón o plástico doblada por la mitad y generalmente con un gancho en la mitad, en el cual se guardan documentos.;Este legajador trae aros que aseguran las tapas evitando que se abran en el momento de archivar altos volúmenes de información.;AcademiaColombianaLengua
leguleyada;Maniobra jurídica en la que se hace parecer una norma o gestión como legal cuando en realidad es ilícita.;La entidad prestadora de salud quizá se inventará alguna leguleyada para subir de forma irracional las tarifas a sus usuarios.;AcademiaColombianaLengua
lejura;Parte remota o muy distante de otro lugar.;Le compró el uniforme, blanco, con su cinturón azul, y lo acompañó muchos sábados hasta el norte, norte, una verdadera lejura.;AcademiaColombianaLengua
lempo;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
lengua;Galleta dulce, en forma alargada, similar a la lengua humana, que se prepara con huevos, mantequilla y azúcar.;Ejemplo no encontrado.;AcademiaColombianaLengua
lenguilargo;Referido a una persona, que delata o acusa a otra.;El famoso bar de la esquina no es lo que muchos mal intencionados y lengüilargos aseguran que es: un antro de vicio y perdición.;AcademiaColombianaLengua
lengüicaliente;Referido a una persona, que usa frecuentemente groserías o que dice obscenidades.;Esos borrachos no hacen más que hacer escándalo y además, se vuelven unos lengüicalientes cada que se enojan con cualquiera.;AcademiaColombianaLengua
lentejo;Referido a una persona, que aparenta ser poco inteligente y muy pausada en sus acciones.;¡De ahí que “lentejo” le llaman al hombre lerdo que para levantar un pie le pide permiso al otro!;AcademiaColombianaLengua
letra;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
leva;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
levantadora;Tipo de bata generalmente larga que se pone sobre la ropa de dormir, al levantarse o para estar en la casa.;Ofrecemos gran variedad de pantuflas y levantadoras en algodón dulce abrigo o algodón perchado.;AcademiaColombianaLengua
levantamuertos;Comida que recupera la energía perdida de una persona.;Me levanté barro, con paso cansino hacia la cafetera para preparar el levantamuerto mañanero.;AcademiaColombianaLengua
levantar;Conquistar a alguien, cautivarlo.;¡Si sonrieras más seguro que levantarías más de un admirador!;AcademiaColombianaLengua
levante;Persona con la que se sostiene una relación sentimental pasajera.;Si lo que quiere es compartir un buen momento con su levante, ir a cine es una opción viable, aunque no siempre es la más acertada.;AcademiaColombianaLengua
ley;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
leña;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
leñero;En el deporte, jugador que es agresivo en sus jugadas y que comete muchas faltas.;En la prueba femenina, el 'leñero' está garantizado en las dos vueltas que darán al circuito de cinco kilómetros, para completar la distancia de 10 km de las damas.;AcademiaColombianaLengua
liberal;Relacionado con el partido Liberal Colombiano, uno de los partidos políticos tradicionales de Colombia.;Liberales y conservadores llegan con dinámicas distintas a las elecciones de Congreso.;AcademiaColombianaLengua
liberalismo;Movimiento político representado por el Partido Liberal Colombiano, fundado en 1848.;Ejemplo no encontrado.;AcademiaColombianaLengua
libra;Unidad de medida que equivale a cien plántulas de la famila de las musáceas (plátano o banano).;Tengo sembrada una ‘libra’ de plátano.;AcademiaColombianaLengua
libreta;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
libretista;Persona que escribe guiones para programas de radio y televisión.;Uno de los libretistas de producciones nacionales tan exitosas como ‘La alternativa del escorpión' falleció a los 54 años.;AcademiaColombianaLengua
licorera;Fábrica estatal en la que se producen bebidas alcohólicas destiladas.;Las licoreras del país informaron este lunes que de acuerdo con el alza de los costos de las materias primas incrementaron el precio de los productos.;AcademiaColombianaLengua
licra;Pantalón largo o corto, hecho de un material delgado, elástico y ajustado al cuerpo que se utiliza generalmente para hacer una actividad física.;Para poder estimular todos los músculos y optimizar al máximo los resultados, es necesario usar una licra ultra delgada.;AcademiaColombianaLengua
licuala;Palmera pequeña de tronco bajo, con una corona de hojas lisas y grandes en forma de abanico, de uso ornamental.;La licuala es de crecimiento lento y exige climas cálidos y protección del viento. Puede sembrarse en materas como planta de interior y se propaga por semillas.;AcademiaColombianaLengua
lidia;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
liendra;Huevo de piojo que se adhiere al pelo.;Descubre cómo eliminar los piojos y las liendras utilizando remedios caseros.;AcademiaColombianaLengua
liga;Proteína animal, como pollo, carne o pescado, que se sirve en una comida.;Muy triste, con la atarraya al hombro se dirige a su rancho. Va con las manos vacías. Esa tarde el arroz va sin liga, pues el río no hizo su aporte.;AcademiaColombianaLengua
ligado;Referido a una persona, que tiene mala suerte.;Ejemplo no encontrado.;AcademiaColombianaLengua
ligar;Dar dinero a alguien, normalmente a familiares o conocidos;Voy a visitar a mi tía para que me ligue, ando sin un centavo.;AcademiaColombianaLengua
limonaria;Arbusto que crece hasta 2 m, de hojas largas y delgadas y flores pequeñas y blancas que huelen a limón, usada con fines medicinales.;La aromática de limonaria es usada para calmar las migrañas y otros dolores de cabeza menores.;AcademiaColombianaLengua
limosina;Vehículo lujoso, muy largo y de gran tamaño en el que generalmente un vidrio separa los asientos traseros de los delanteros.;La enorme limosina ha sido usada en matrimonios, despedidas de soltero y eventos sociales.;AcademiaColombianaLengua
limosnero;Referido a una persona, que pide limosna en las calles.;Ejemplo no encontrado.;AcademiaColombianaLengua
limpia;Serie de golpes dados a una persona o a un animal a modo de castigo.;Como todos sintieron mucha rabia, cogieron una vara y le dieron una limpia, pues sabían que ella era quien les chupaba la sangre.;AcademiaColombianaLengua
limpiabrisas;Dispositivo externo que barre del parabrisas de un vehículo, la lluvia o el sucio, con movimientos de lado a lado.;Una mujer fue quien inventó los limpiabrisas de los carros: se trata de Mary Anderson, una norteamericana quien, a sus 39 años, logró patentar su creación en 1905.;AcademiaColombianaLengua
limpiar;Tratar una enfermedad mediante las prácticas de un médico tradicional, especialmente los padecimientos asociados a causas sobrenaturales.;Después el taita nos echa tabaco y nos limpia con la guaira, el manojo de hojas que agita en torno a nosotros.;AcademiaColombianaLengua
limpiavidrios;Persona que tiene por oficio la limpieza de vidrios, generalmente de las ventanas de los edificios.;Ejemplo no encontrado.;AcademiaColombianaLengua
limpio;Referido a una persona, que está sin nada de dinero.;No juego más dominó, me dejaron limpio.;AcademiaColombianaLengua
limpión;Trozo de tela que se emplea en la cocina para secar o limpiar.;Ejemplo no encontrado.;AcademiaColombianaLengua
lineamiento;Principio básico que caracteriza una tendencia o forma de pensamiento.;Los lineamientos pedagógicos del colegio se fundamentan en el respeto por el otro.;AcademiaColombianaLengua
liquid paper;Implemento de escritorio cuyo contenido es un líquido blanco y espeso que al secarse sobre el papel cubre el contenido escrito que se desea borrar.;Ejemplo no encontrado.;AcademiaColombianaLengua
liquilique;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
liquiliqui;Traje típico masculino de los Llanos Orientales, hecho generalmente de lino o dril y compuesto por chaqueta y pantalón del mismo color.;El liquiliqui con el cual Gabo recibió el Premio Nobel de Literatura en 1982, estará expuesto en el Museo Nacional de Colombia.;AcademiaColombianaLengua
lisa;Nombre de varias especies de pez de agua dulce, de hasta 36 cm de longitud, cuerpo fusiforme con escamas, aleta dorsal transparente, tiene hábitos gregarios y es comestible.;Al ir de pesca, es probable encontrar lisas cerca de la superficie, en el gramalote y en el bosque.;AcademiaColombianaLengua
liso;Referido a una persona, atrevida, confianzuda.;En verbenas y casetas todavía se escucha eso de “saca la mano liso que ese man te va a cascar”.;AcademiaColombianaLengua
lizadero;Juego infantil ubicado en los parques que consta de una rampa y unas escaleras por las que los niños suben para luego deslizarse.;Ejemplo no encontrado.;AcademiaColombianaLengua
llaga;Persona que come mucho y compulsivamente.;Mucha llaga, pingo, antes no está más gordo.;AcademiaColombianaLengua
llamadera;Llamadas reiteradas e insistentes.;Hay una llamadera a la emisora por el concurso que se está haciendo.;AcademiaColombianaLengua
llamador;Instrumento de percusión ahuecado y de forma cilíndrica, hecho de metal o madera.;El llamador se ejecuta, de pie o sentado, por percusión directa con la palma de la mano abierta.;AcademiaColombianaLengua
llanero;Relacionado con los Llanos orientales colombianos.;El grupo se conformó hace cinco años con el propósito de difundir la música llanera.;AcademiaColombianaLengua
llanta;En un vehículo, parte de caucho que forma la rueda.;Una camioneta o campero no requiere las mismas llantas que un automóvil normal, y mucho menos un vehículo de carga.;AcademiaColombianaLengua
llantero;Persona que repara las llantas de un vehículo.;El conductor de la moto se quedó en la esquina, mientras su parrillero se bajó y caminó hasta donde estaba el joven llantero.;AcademiaColombianaLengua
llantería;Lugar donde se reparan y ponen las llantas de un vehículo.;Había reparado varias llantas y se disponía a culminar sus actividades en la humilde llantería de la cual derivaba su sustento diario.;AcademiaColombianaLengua
llave;Forma de tratamiento usada entre amigos o compañeros de género masculino.;Ejemplo no encontrado.;AcademiaColombianaLengua
llavería;Amigo, compañero inseparable.;Ejemplo no encontrado.;AcademiaColombianaLengua
llenura;Sensación de dificultad en la digestión por haber comido en exceso.;Para disminuir la llenura, los expertos aconsejan comer a la misma hora y disminuir el consumo de grasas y de otros alimentos.;AcademiaColombianaLengua
lleva;Juego infantil en el que uno de los integrantes persigue a los otros hasta alcanzarlos, antes de que se refugien en una zona de seguridad.;Jugar a la lleva, golosa o ponchados desarrolla en los niños destrezas físicas, mentales y cognitivas.;AcademiaColombianaLengua
llevado;Referido a una persona, que se encuentra en una mala situación económica.;Ejemplo no encontrado.;AcademiaColombianaLengua
lloretas;Referido a una persona, que llora mucho.;Desde niña soy muy lloretas, me emociono por todo.;AcademiaColombianaLengua
llovedera;Lluvia continua.;Esa llovedera no los dejó salir a recoger la cosecha de papa.;AcademiaColombianaLengua
lloviznarse;Mojarse con la lluvia.;Fuimos al parque a pasear el perro y, aunque corrimos, nos lloviznamos.;AcademiaColombianaLengua
lluspar;Resbalar, deslizar.;Ejemplo no encontrado.;AcademiaColombianaLengua
lluspioso;Referido a un objeto o superficie, que se resbala o se desliza con facilidad.;El piso está lluspioso.;AcademiaColombianaLengua
lluvia;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
lobera;Algo de mal gusto, escandaloso u ordinario.;Qué lobera. Por más que quieran medio parecer Hollywood. Entre más se esfuercen, más lobos son. Esta imitación es absolutamente ridícula.;AcademiaColombianaLengua
lobería;Algo de mal gusto, escandaloso u ordinario.;Ejemplo no encontrado.;AcademiaColombianaLengua
lobo;Referido a una persona u objeto, ordinario o de apariencia desagradable.;Ejemplo no encontrado.;AcademiaColombianaLengua
lobón;Lagarto de color verde oliva con manchas negras, caracterizado por una cola de cerca de 50 cm que usa para defenderse, y la propiedad de mimetizarse según las tonalidades del ambiente que le rodea.;Ejemplo no encontrado.;AcademiaColombianaLengua
localidad;Cada una de las veinte zonas administrativas en las que se divide Bogotá, Distrito Capital.;Una de las directrices para el presupuesto de las localidades es que se invierta el 40% en arreglo de vías locales y espacio público.;AcademiaColombianaLengua
locho;Referido a una persona, perezosa que no le gusta hacer nada.;He estado muy ocupado, muy confundido, muy locho para escribir.;AcademiaColombianaLengua
loina;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
lolas;Senos de la mujer.;Ejemplo no encontrado.;AcademiaColombianaLengua
loliar;Ir por varios almacenes probándose los productos o preguntando por sus características sin tener la intención de comprarlos.;Quería salir a ‘loliar’ a los almacenes y centros comerciales y ver en los escaparates, lo último de la moda.;AcademiaColombianaLengua
lolo;Persona que va por distintos almacenes probándose los productos o preguntando por sus características sin tener la intención de comprarlos.;¡Qué lola! me hizo mostrarle todos los esmaltes y no compró ninguno.;AcademiaColombianaLengua
lombriciento;Referido a una persona o un animal, que tiene lombrices intestinales.;Ejemplo no encontrado.;AcademiaColombianaLengua
lomito;Corte de carne de res que va entre las costillas y el lomo.;Ejemplo no encontrado.;AcademiaColombianaLengua
lomplei;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
lompley;Tortillas dulces crocantes de harina de trigo que se distinguen por su gran tamaño.;Fui de paseo a las Lajas y de regreso a casa en el Pedregal me compré un lomplei con café en leche.;AcademiaColombianaLengua
lonchera;Recipiente plástico o de otro material en el que los niños llevan su alimento al colegio.;En toda lonchera debe haber una fuente de fibra y energía, un alimento que aporte proteínas, una fruta y una bebida.;AcademiaColombianaLengua
longo;Piedra.;Los pandilleros lanzaron longos a la policía.;AcademiaColombianaLengua
lora;Persona que habla mucho.;Ejemplo no encontrado.;AcademiaColombianaLengua
lote;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
loína;Armónica, instrumento de viento tradicional usada en ceremonias y festividades.;Cantando vas al mundo de vidas pasadas/ con canto de loina danzas/ con viento de guaira vuelas / con tu espíritu vas buscando.;AcademiaColombianaLengua
luca;Cantidad de dinero equivalente a un peso.;Me llegó un Toshiba de los setenta. Está sucio pero le sirve hasta la casetera. Te lo dejo en 150 lucas y te encimo diez discos.;AcademiaColombianaLengua
lulada;Bebida fría que se prepara con lulo.;El jugo de lulo se diferencia de la lulada en que en esta última no se licúa el lulo ni se cuela, se parte en trozos muy pequeños y se bate con un molinillo.;AcademiaColombianaLengua
lulo;Arbusto que alcanza los 3 m de altura, con hojas grandes, nervaduras y flores moradas, y cubierto de pequeños pelos que pueden ser urticantes.;El lulo empieza a producir sus primeros frutos a los 10 meses de haber sido plantado.;AcademiaColombianaLengua
lumbalú;Ritual funerario de San Basilio de Palenque, en el que los adultos realizan cantos y danzas durante el velorio.;El lumbalú fue traído desde África por los esclavos que llegaron a América y es una expresión musical del dolor por la muerte de un ser querido.;AcademiaColombianaLengua
luna;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
luneta;En un teatro, lugar ubicado en la planta baja, frente al escenario, en el que se ubican los asientos preferenciales.;El teatro cuenta con una capacidad de 714 personas, distribuidas en platea, luneta y balcón.;AcademiaColombianaLengua
lupia;Dinero.;Y se dedicó a malgastar en bebida cuanta lupia ganaba… Hasta que se quedó sin un centavo en el bolsillo.;AcademiaColombianaLengua
luquiado;Referido a una persona, que tiene mucho dinero.;Víctor reaccionó a tiempo y descubrió que prefería dar ejemplo de honestidad y rectitud a sus dos hijos que estar 'luquiado' o con 'buena pinta'.;AcademiaColombianaLengua
lustrabotas;Persona que tiene por oficio limpiar y lustrar el calzado.;Ejemplo no encontrado.;AcademiaColombianaLengua
lámina;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
líchigo;Cantidad pequeña de hortalizas, frutas y verduras que se compra generalmente para el consumo diario.;Lo que es el mercado de líchigo, o sea, lo que es de plaza, se hace, una vez a la semana.;AcademiaColombianaLengua
